"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1032","deve consultar os dados de transportador PJ CIF e FOB com sucesso","GET /{cnpj}/resumo | Consultar Dados do Transportador","Fri May 15 20:34:47 UTC 2026","passed","Fri May 15 20:34:48 UTC 2026","","","",""
"","330","não deve consultar o quantitativo de entregas ao utilizar token expirado","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:34:45 UTC 2026","passed","Fri May 15 20:34:45 UTC 2026","","","",""
"","796","pesquisar por número da nota fiscal na simulacao","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:34:47 UTC 2026","passed","Fri May 15 20:34:48 UTC 2026","","","",""
"","689","deve consultar o quantitativo de entregas com sucesso sem enviar datas (default 15 dias)","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:34:44 UTC 2026","passed","Fri May 15 20:34:45 UTC 2026","","","",""
"","2231","deve consultar o quantitativo de entregas com sucesso para 1 base","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:34:41 UTC 2026","passed","Fri May 15 20:34:43 UTC 2026","","","",""
"","2155","deve consultar os detalhes das entregas ENTREGUES com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:46 UTC 2026","passed","Fri May 15 20:34:48 UTC 2026","","","",""
"","1062","deve consultar os detalhes das entregas com sucesso passando período de 15 dias","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:45 UTC 2026","passed","Fri May 15 20:34:46 UTC 2026","","","",""
"","618","deve consultar os detalhes das entregas NÃO ENTREGUES com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:48 UTC 2026","passed","Fri May 15 20:34:48 UTC 2026","","","",""
"","774","deve consultar o quantitativo de entregas com sucesso para várias bases","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:34:43 UTC 2026","passed","Fri May 15 20:34:44 UTC 2026","","","",""
"","3412","deve consultar os detalhes das entregas com sucesso sem enviar nenhum parâmetro","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:41 UTC 2026","passed","Fri May 15 20:34:45 UTC 2026","","","",""
"","752","consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:34:44 UTC 2026","passed","Fri May 15 20:34:45 UTC 2026","","","",""
"","626","deve buscar nota fiscal por número com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:49 UTC 2026","passed","Fri May 15 20:34:50 UTC 2026","","","",""
"","2012","Usuário interno com token expirado não deve consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:34:42 UTC 2026","passed","Fri May 15 20:34:44 UTC 2026","","","",""
"","699","deve consultar o quantitativo de entregas sem resultados (retorno vazio)","GET /{cnpj}/bases| Consultar Quantitativo de Notas por Base","Fri May 15 20:34:45 UTC 2026","passed","Fri May 15 20:34:46 UTC 2026","","","",""
"","314","não deve consultar os detalhes das entregas ao utilizar token expirado","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:50 UTC 2026","passed","Fri May 15 20:34:50 UTC 2026","","","",""
"","963","deve consultar os detalhes das entregas SEM REGISTRO com sucesso","GET /{cnpj}/bases/{baseId}/entregas | Consultar Detalhes das Entregas por Base","Fri May 15 20:34:48 UTC 2026","passed","Fri May 15 20:34:49 UTC 2026","","","",""
"","308","Usuário interno sem permissão de simulaçã não deve consultar o quantitativo de entregas na simulação","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:34:44 UTC 2026","passed","Fri May 15 20:34:44 UTC 2026","","","",""
"","","deve consultar os dados de transportador PF FOB com sucesso","GET /{cpf}/resumo | Consultar Dados do Transportador PF","Fri May 15 20:34:48 UTC 2026","skipped","","","","",""
"","2536","consultar os detalhes das entregas na simulacao","GET (Chamadas com Token e Header de usuário interno) | Chamadas de Simulação com usuario interno","Fri May 15 20:34:45 UTC 2026","passed","Fri May 15 20:34:47 UTC 2026","","","",""
